Company,Revenue_2024_M,Revenue_2023_M,Growth_Pct,Industry,Employees,Founded,Headquarters
TechNova Inc,450,380,18.4,Software,1200,2015,San Francisco
GreenEnergy Co,320,290,10.3,Renewable Energy,800,2012,Austin
DataStream LLC,280,210,33.3,Data Analytics,650,2018,New York
CloudFirst Systems,520,440,18.2,Cloud Computing,1500,2013,Seattle
HealthAI Corp,190,150,26.7,Healthcare AI,420,2019,Boston
FinSecure Ltd,380,350,8.6,Fintech,900,2014,London
AutoDrive Tech,610,480,27.1,Autonomous Vehicles,2100,2016,Detroit
SmartRetail Inc,175,160,9.4,E-commerce,380,2017,Chicago
BioGenix,290,230,26.1,Biotechnology,550,2011,San Diego
CyberShield Corp,340,300,13.3,Cybersecurity,750,2015,Washington DC
